dia,hora,intervalo,Simples,BD,BS,TD,TS,preco_pt,preco_es
01/01/2017,00:15,[00:00-00:15[,S,V,V,V,V,58.23,58.23
01/01/2017,00:30,[00:15-00:30[,S,V,V,V,V,58.23,58.23
01/01/2017,00:45,[00:30-00:45[,S,V,V,V,V,58.23,58.23
01/01/2017,01:00,[00:45-01:00[,S,V,V,V,V,58.23,58.23
01/01/2017,01:15,[01:00-01:15[,S,V,V,V,V,51.95,51.95
01/01/2017,01:30,[01:15-01:30[,S,V,V,V,V,51.95,51.95
01/01/2017,01:45,[01:30-01:45[,S,V,V,V,V,51.95,51.95
01/01/2017,02:00,[01:45-02:00[,S,V,V,V,V,51.95,51.95
01/01/2017,02:15,[02:00-02:15[,S,V,V,V,V,47.27,47.27
01/01/2017,02:30,[02:15-02:30[,S,V,V,V,V,47.27,47.27
01/01/2017,02:45,[02:30-02:45[,S,V,V,V,V,47.27,47.27
01/01/2017,03:00,[02:45-03:00[,S,V,V,V,V,47.27,47.27
01/01/2017,03:15,[03:00-03:15[,S,V,V,V,V,46.90,45.49
01/01/2017,03:30,[03:15-03:30[,S,V,V,V,V,46.90,45.49
01/01/2017,03:45,[03:30-03:45[,S,V,V,V,V,46.90,45.49
01/01/2017,04:00,[03:45-04:00[,S,V,V,V,V,46.90,45.49
01/01/2017,04:15,[04:00-04:15[,S,V,V,V,V,46.60,44.50
01/01/2017,04:30,[04:15-04:30[,S,V,V,V,V,46.60,44.50
01/01/2017,04:45,[04:30-04:45[,S,V,V,V,V,46.60,44.50
01/01/2017,05:00,[04:45-05:00[,S,V,V,V,V,46.60,44.50
01/01/2017,05:15,[05:00-05:15[,S,V,V,V,V,46.25,44.50
01/01/2017,05:30,[05:15-05:30[,S,V,V,V,V,46.25,44.50
01/01/2017,05:45,[05:30-05:45[,S,V,V,V,V,46.25,44.50
01/01/2017,06:00,[05:45-06:00[,S,V,V,V,V,46.25,44.50
01/01/2017,06:15,[06:00-06:15[,S,V,V,V,V,46.10,44.72
01/01/2017,06:30,[06:15-06:30[,S,V,V,V,V,46.10,44.72
01/01/2017,06:45,[06:30-06:45[,S,V,V,V,V,46.10,44.72
01/01/2017,07:00,[06:45-07:00[,S,V,V,V,V,46.10,44.72
01/01/2017,07:15,[07:00-07:15[,S,V,V,V,V,46.10,44.22
